(0, 0.0, 0, 'dark_water')),(30, 0.0, 0, 'dark_water')),(60, 0.0, 0, 'dark_water')),(90, 0.0, 0, 'dark_water')),(120, 0.0, 0, 'dark_water')),(150, 0.0, 0, 'dark_water')),(180, 0.0, 0, 'dark_water')),
(15.0, 94.6, 8.064883947372437, 'dark_water')),(45.0, 94.6, 65.25762856006622, 'rocky')),(75.0, 94.6, 73.25601261109114, 'snowy')),(105.0, 94.6, 69.60458197630942, 'rocky')),(135.0, 94.6, 81.1818516254425, 'snowy')),(165.0, 94.6, 51.19744420051575, 'dark_grass')),(195.0, 94.6, 0, 'dark_water')),
(0, 103.19999999999999, 0, 'dark_water')),(30, 103.19999999999999, 34.05093312263489, 'grass')),(60, 103.19999999999999, 78.6649127304554, 'snowy')),(90, 103.19999999999999, 70.17042755847797, 'snowy')),(120, 103.19999999999999, 76.73835508525372, 'snowy')),(150, 103.19999999999999, 72.48876571655273, 'snowy')),(180, 103.19999999999999, 11.691412925720215, 'water')),
(15.0, 111.8, 4.567651748657227, 'dark_water')),(45.0, 111.8, 61.026626229286194, 'rocky')),(75.0, 111.8, 68.83819185197353, 'rocky')),(105.0, 111.8, 67.40136617794633, 'rocky')),(135.0, 111.8, 80.67238569259644, 'snowy')),(165.0, 111.8, 44.550708532333374, 'dark_grass')),(195.0, 111.8, 0, 'dark_water')),
(0, 120.39999999999999, 0, 'dark_water')),(30, 120.39999999999999, 33.235366344451904, 'grass')),(60, 120.39999999999999, 69.63799327611923, 'rocky')),(90, 120.39999999999999, 71.85344081372023, 'snowy')),(120, 120.39999999999999, 76.56919866800308, 'snowy')),(150, 120.39999999999999, 55.484100580215454, 'dark_grass')),(180, 120.39999999999999, 0, 'dark_water')),
(15.0, 129.0, 0, 'dark_water')),(45.0, 129.0, 47.427465319633484, 'dark_grass')),(75.0, 129.0, 67.66342341899872, 'rocky')),(105.0, 129.0, 69.09659162163734, 'rocky')),(135.0, 129.0, 65.9357088804245, 'rocky')),(165.0, 129.0, 17.999846935272217, 'water')),(195.0, 129.0, 0, 'dark_water')),
(0, 137.6, 0, 'dark_water')),(30, 137.6, 13.32826852798462, 'water')),(60, 137.6, 44.843244552612305, 'dark_grass')),(90, 137.6, 75.45522272586823, 'snowy')),(120, 137.6, 67.47076213359833, 'rocky')),(150, 137.6, 34.13015842437744, 'grass')),(180, 137.6, 0, 'dark_water')),
(15.0, 146.2, 0, 'dark_water')),(45.0, 146.2, 15.299609899520874, 'water')),(75.0, 146.2, 59.82109487056732, 'dark_grass')),(105.0, 146.2, 71.45976573228836, 'snowy')),(135.0, 146.2, 40.26441156864166, 'dark_grass')),(165.0, 146.2, 0, 'dark_water')),(195.0, 146.2, 0, 'dark_water')),
(0, 154.79999999999998, 0, 'dark_water')),(30, 154.79999999999998, 0, 'dark_water')),(60, 154.79999999999998, 26.05130910873413, 'grass')),(90, 154.79999999999998, 60.627856850624084, 'rocky')),(120, 154.79999999999998, 47.999977469444275, 'dark_grass')),(150, 154.79999999999998, 3.685898780822754, 'dark_water')),(180, 154.79999999999998, 0, 'dark_water')),
(15.0, 163.4, 0, 'dark_water')),(45.0, 163.4, 0, 'dark_water')),(75.0, 163.4, 35.51012635231018, 'grass')),(105.0, 163.4, 47.21757531166077, 'dark_grass')),(135.0, 163.4, 14.320499897003174, 'water')),(165.0, 163.4, 0, 'dark_water')),(195.0, 163.4, 0, 'dark_water')),
(0, 172.0, 0, 'dark_water')),(30, 172.0, 0, 'dark_water')),(60, 172.0, 0, 'dark_water')),(90, 172.0, 29.148648977279663, 'grass')),(120, 172.0, 20.820668935775757, 'sand')),(150, 172.0, 0, 'dark_water')),(180, 172.0, 0, 'dark_water')),
(15.0, 180.6, 0, 'dark_water')),(45.0, 180.6, 0, 'dark_water')),(75.0, 180.6, 0, 'dark_water')),(105.0, 180.6, 9.857032299041748, 'dark_water')),(135.0, 180.6, 0, 'dark_water')),(165.0, 180.6, 0, 'dark_water')),(195.0, 180.6, 0, 'dark_water')),
(0, 189.2, 0, 'dark_water')),(30, 189.2, 0, 'dark_water')),(60, 189.2, 0, 'dark_water')),(90, 189.2, 0, 'dark_water')),(120, 189.2, 0, 'dark_water')),(150, 189.2, 0, 'dark_water')),(180, 189.2, 0, 'dark_water')),
(15.0, 197.79999999999998, 0, 'dark_water')),(45.0, 197.79999999999998, 0, 'dark_water')),(75.0, 197.79999999999998, 0, 'dark_water')),(105.0, 197.79999999999998, 0, 'dark_water')),(135.0, 197.79999999999998, 0, 'dark_water')),(165.0, 197.79999999999998, 0, 'dark_water')),(195.0, 197.79999999999998, 0, 'dark_water')),
(0, 206.39999999999998, 0, 'dark_water')),(30, 206.39999999999998, 0, 'dark_water')),(60, 206.39999999999998, 0, 'dark_water')),(90, 206.39999999999998, 0, 'dark_water')),(120, 206.39999999999998, 0, 'dark_water')),(150, 206.39999999999998, 0, 'dark_water')),(180, 206.39999999999998, 0, 'dark_water')),
(15.0, 215.0, 0, 'dark_water')),(45.0, 215.0, 0, 'dark_water')),(75.0, 215.0, 0, 'dark_water')),(105.0, 215.0, 0, 'dark_water')),(135.0, 215.0, 0, 'dark_water')),(165.0, 215.0, 0, 'dark_water')),(195.0, 215.0, 0, 'dark_water')),
