X-axis,Y-axis,Noise,Type
630,120.4,0, 'dark_water'
735,120.4,0, 'dark_water'
840,120.4,14.5214366912842, 'water'
945,120.4,0, 'dark_water'
1050,120.4,0, 'dark_water'
1155,120.4,0, 'dark_water'
1260,120.4,0, 'dark_water'
1365,120.4,0, 'dark_water'
1470,120.4,0, 'dark_water'
1575,120.4,0, 'dark_water'
1680,120.4,0, 'dark_water'
52.5,150.5,0, 'dark_water'
157.5,150.5,0, 'dark_water'
262.5,150.5,0, 'dark_water'
367.5,150.5,0, 'dark_water'
472.5,150.5,1.52433156967163, 'dark_water'
577.5,150.5,0, 'dark_water'
682.5,150.5,0, 'dark_water'
787.5,150.5,8.71104240417481, 'dark_water'
892.5,150.5,0.186113119125366, 'dark_water'
997.5,150.5,0, 'dark_water'
1102.5,150.5,0, 'dark_water'
1207.5,150.5,0, 'dark_water'
1312.5,150.5,0, 'dark_water'
1417.5,150.5,0, 'dark_water'
1522.5,150.5,0, 'dark_water'
1627.5,150.5,0, 'dark_water'
1732.5,150.5,0, 'dark_water'
0,180.6,0, 'dark_water'
105,180.6,0, 'dark_water'
210,180.6,0, 'dark_water'
315,180.6,0, 'dark_water'
420,180.6,11.213972568512, 'water'
525,180.6,0.470259189605713, 'dark_water'
630,180.6,0, 'dark_water'
735,180.6,0, 'dark_water'
840,180.6,14.345737695694, 'water'
945,180.6,1.803377866745, 'dark_water'
1050,180.6,0, 'dark_water'
1155,180.6,0, 'dark_water'
1260,180.6,0, 'dark_water'
1365,180.6,0, 'dark_water'
1470,180.6,0, 'dark_water'
1575,180.6,0, 'dark_water'
1680,180.6,0, 'dark_water'
52.5,210.7,0, 'dark_water'
157.5,210.7,0, 'dark_water'
262.5,210.7,0, 'dark_water'
367.5,210.7,16.3369703292847, 'water'
472.5,210.7,3.53600263595581, 'dark_water'
577.5,210.7,7.98332333564758, 'dark_water'
682.5,210.7,0, 'dark_water'
787.5,210.7,11.0173165798187, 'water'
892.5,210.7,0, 'dark_water'
997.5,210.7,0, 'dark_water'
1102.5,210.7,0, 'dark_water'
1207.5,210.7,0, 'dark_water'
1312.5,210.7,0, 'dark_water'
1417.5,210.7,0, 'dark_water'
1522.5,210.7,0, 'dark_water'
1627.5,210.7,0, 'dark_water'
1732.5,210.7,0, 'dark_water'
0,240.8,0, 'dark_water'
105,240.8,0, 'dark_water'
210,240.8,0, 'dark_water'
315,240.8,0, 'dark_water'
420,240.8,12.372579574585, 'water'
525,240.8,16.4589142799377, 'water'
630,240.8,13.0219709873199, 'water'
735,240.8,2.99373507499695, 'dark_water'
840,240.8,21.4446222782135, 'sand'
945,240.8,18.2530438899994, 'water'
1050,240.8,4.85368251800537, 'dark_water'
1155,240.8,0, 'dark_water'
1260,240.8,0, 'dark_water'
1365,240.8,0, 'dark_water'
1470,240.8,0, 'dark_water'
1575,240.8,0, 'dark_water'
1680,240.8,0, 'dark_water'
52.5,270.9,0, 'dark_water'
157.5,270.9,0, 'dark_water'
262.5,270.9,0, 'dark_water'
367.5,270.9,0, 'dark_water'
472.5,270.9,1.93689465522766, 'dark_water'
577.5,270.9,38.3417522907257, 'grass'
682.5,270.9,20.2226328849792, 'sand'
787.5,270.9,36.9818919897079, 'grass'
892.5,270.9,50.2783280611038, 'dark_grass'
997.5,270.9,39.5978093147278, 'grass'
1102.5,270.9,0, 'dark_water'
1207.5,270.9,0, 'dark_water'
1312.5,270.9,0, 'dark_water'
1417.5,270.9,0, 'dark_water'
1522.5,270.9,0, 'dark_water'
1627.5,270.9,0, 'dark_water'
1732.5,270.9,0, 'dark_water'
0,301,0, 'dark_water'
105,301,0, 'dark_water'
210,301,0, 'dark_water'
315,301,0, 'dark_water'
420,301,0, 'dark_water'
525,301,0, 'dark_water'
630,301,38.6275899410248, 'grass'
735,301,25.8779525756836, 'grass'
840,301,28.692934513092, 'grass'
945,301,53.2118386030197, 'dark_grass'
1050,301,17.3371893167496, 'water'
1155,301,10.5589699745178, 'water'
1260,301,2.2472083568573, 'dark_water'
1365,301,0, 'dark_water'
1470,301,0, 'dark_water'
1575,301,0, 'dark_water'
1680,301,0, 'dark_water'
52.5,331.1,0, 'dark_water'
157.5,331.1,0, 'dark_water'
262.5,331.1,0, 'dark_water'
367.5,331.1,0, 'dark_water'
472.5,331.1,6.16909861564636, 'dark_water'
577.5,331.1,35.5065679550171, 'grass'
682.5,331.1,40.8106184005737, 'dark_grass'
787.5,331.1,35.5972319841385, 'grass'
892.5,331.1,45.4091387987137, 'dark_grass'
997.5,331.1,42.5135314464569, 'dark_grass'
1102.5,331.1,8.06698679924011, 'dark_water'
1207.5,331.1,21.7121529579163, 'sand'
1312.5,331.1,0, 'dark_water'
1417.5,331.1,0, 'dark_water'
1522.5,331.1,0, 'dark_water'
1627.5,331.1,0, 'dark_water'
1732.5,331.1,0, 'dark_water'
0,361.2,0, 'dark_water'
105,361.2,0, 'dark_water'
210,361.2,0, 'dark_water'
315,361.2,7.2934877872467, 'dark_water'
420,361.2,11.0661399364471, 'water'
525,361.2,9.73988771438599, 'dark_water'
630,361.2,46.1980319023132, 'dark_grass'
735,361.2,48.3249056339264, 'dark_grass'
840,361.2,48.1758284568787, 'dark_grass'
945,361.2,27.5611674785614, 'grass'
1050,361.2,20.2806669473648, 'sand'
1155,361.2,10.5111318826675, 'water'
1260,361.2,0, 'dark_water'
1365,361.2,0, 'dark_water'
1470,361.2,0, 'dark_water'
1575,361.2,0, 'dark_water'
1680,361.2,0, 'dark_water'
52.5,391.3,0, 'dark_water'
157.5,391.3,0, 'dark_water'
262.5,391.3,0, 'dark_water'
367.5,391.3,8.82373452186585, 'dark_water'
472.5,391.3,14.0635550022125, 'water'
577.5,391.3,34.8476243019104, 'grass'
682.5,391.3,49.4079458713532, 'dark_grass'
787.5,391.3,43.0253854393959, 'dark_grass'
892.5,391.3,30.0821873545647, 'grass'
997.5,391.3,20.116091966629, 'sand'
1102.5,391.3,21.3485187292099, 'sand'
1207.5,391.3,7.78346478939056, 'dark_water'
1312.5,391.3,0, 'dark_water'
1417.5,391.3,7.54215359687805, 'dark_water'
1522.5,391.3,0.764186382293701, 'dark_water'
1627.5,391.3,0, 'dark_water'
1732.5,391.3,0, 'dark_water'
0,421.4,0, 'dark_water'
105,421.4,0, 'dark_water'
210,421.4,0, 'dark_water'
315,421.4,37.5500822067261, 'grass'
420,421.4,11.7047703266144, 'water'
525,421.4,17.445747256279, 'water'
630,421.4,46.7606037855148, 'dark_grass'
735,421.4,74.8379892110825, 'snowy'
840,421.4,44.090421795845, 'dark_grass'
945,421.4,28.4591665863991, 'grass'
1050,421.4,29.9296742677689, 'grass'
1155,421.4,33.0880272388458, 'grass'
1260,421.4,9.63021755218506, 'dark_water'
1365,421.4,6.76056504249573, 'dark_water'
1470,421.4,0, 'dark_water'
1575,421.4,0, 'dark_water'
1680,421.4,0, 'dark_water'
52.5,451.5,0, 'dark_water'
157.5,451.5,0, 'dark_water'
262.5,451.5,2.90904879570007, 'dark_water'
367.5,451.5,15.3773546218872, 'water'
472.5,451.5,40.4407167434692, 'dark_grass'
577.5,451.5,59.6675527095795, 'dark_grass'
682.5,451.5,58.281392455101, 'dark_grass'
787.5,451.5,55.2681335806847, 'dark_grass'
892.5,451.5,39.5265287160873, 'grass'
997.5,451.5,44.9944040179253, 'dark_grass'
1102.5,451.5,53.2562720775604, 'dark_grass'
1207.5,451.5,32.7145171165466, 'grass'
1312.5,451.5,0, 'dark_water'
1417.5,451.5,1.28979563713074, 'dark_water'
1522.5,451.5,0, 'dark_water'
1627.5,451.5,0, 'dark_water'
1732.5,451.5,0, 'dark_water'
0,481.6,0, 'dark_water'
105,481.6,0, 'dark_water'
210,481.6,0, 'dark_water'
315,481.6,31.9520401954651, 'grass'
420,481.6,24.5297169685364, 'sand'
525,481.6,51.7464637756348, 'dark_grass'
630,481.6,47.5743868947029, 'dark_grass'
735,481.6,57.1823707222939, 'dark_grass'
840,481.6,60.5123519897461, 'rocky'
945,481.6,61.0589987039566, 'rocky'
1050,481.6,53.9223021268845, 'dark_grass'
1155,481.6,68.360949754715, 'rocky'
1260,481.6,15.3101027011871, 'water'
1365,481.6,14.9443602561951, 'water'
1470,481.6,0, 'dark_water'
1575,481.6,0, 'dark_water'
1680,481.6,0, 'dark_water'
52.5,511.7,0, 'dark_water'
157.5,511.7,0, 'dark_water'
262.5,511.7,10.4550468921661, 'water'
367.5,511.7,30.9415447711945, 'grass'
472.5,511.7,44.1018730401993, 'dark_grass'
577.5,511.7,52.1176108717918, 'dark_grass'
682.5,511.7,37.7311143279076, 'grass'
787.5,511.7,66.6767536103725, 'rocky'
892.5,511.7,65.2737584710121, 'rocky'
997.5,511.7,67.352527230978, 'rocky'
1102.5,511.7,76.4421594142914, 'snowy'
1207.5,511.7,27.3550307750702, 'grass'
1312.5,511.7,36.7543083429337, 'grass'
1417.5,511.7,0, 'dark_water'
1522.5,511.7,0, 'dark_water'
1627.5,511.7,0, 'dark_water'
1732.5,511.7,0, 'dark_water'
0,541.8,0, 'dark_water'
105,541.8,0, 'dark_water'
210,541.8,0, 'dark_water'
315,541.8,35.371413230896, 'grass'
420,541.8,17.4897533655167, 'water'
525,541.8,62.5250825285912, 'rocky'
630,541.8,47.6451060175896, 'dark_grass'
735,541.8,56.6934737563133, 'dark_grass'
840,541.8,58.1615290045738, 'dark_grass'
945,541.8,59.8698404431343, 'dark_grass'
1050,541.8,52.954635322094, 'dark_grass'
1155,541.8,61.5438267588615, 'rocky'
1260,541.8,40.9806936979294, 'dark_grass'
1365,541.8,12.648811340332, 'water'
1470,541.8,0, 'dark_water'
1575,541.8,4.09508228302002, 'dark_water'
1680,541.8,0, 'dark_water'
52.5,571.9,0, 'dark_water'
157.5,571.9,0, 'dark_water'
262.5,571.9,1.83696269989014, 'dark_water'
367.5,571.9,21.4689642190933, 'sand'
472.5,571.9,38.0901771783829, 'grass'
577.5,571.9,46.8269911408424, 'dark_grass'
682.5,571.9,34.2842182517052, 'grass'
787.5,571.9,43.1798795610666, 'dark_grass'
892.5,571.9,38.4562533348799, 'grass'
997.5,571.9,50.5845840275288, 'dark_grass'
1102.5,571.9,66.1829343438149, 'rocky'
1207.5,571.9,33.7046027183533, 'grass'
1312.5,571.9,23.6182308197021, 'sand'
1417.5,571.9,22.0650100708008, 'sand'
1522.5,571.9,0, 'dark_water'
1627.5,571.9,0, 'dark_water'
1732.5,571.9,0, 'dark_water'
0,602,0, 'dark_water'
105,602,0, 'dark_water'
210,602,5.16757607460022, 'dark_water'
315,602,29.5687329769135, 'grass'
420,602,26.2479990720749, 'grass'
525,602,32.0698133111, 'grass'
630,602,53.630864918232, 'dark_grass'
735,602,49.0585351735354, 'dark_grass'
840,602,33.069449365139, 'grass'
945,602,63.4373467415571, 'rocky'
1050,602,39.5212997496128, 'grass'
1155,602,28.8621872663498, 'grass'
1260,602,37.8111362457275, 'grass'
1365,602,33.3485645055771, 'grass'
1470,602,0, 'dark_water'
1575,602,21.5009379386902, 'sand'
1680,602,0, 'dark_water'
52.5,632.1,0, 'dark_water'
157.5,632.1,6.99344515800476, 'dark_water'
262.5,632.1,11.1728990077972, 'water'
367.5,632.1,19.7341847419739, 'water'
472.5,632.1,39.3633940815926, 'grass'
577.5,632.1,53.8298705220223, 'dark_grass'
682.5,632.1,46.7848880589008, 'dark_grass'
787.5,632.1,46.3171990960836, 'dark_grass'
892.5,632.1,47.6661695167422, 'dark_grass'
997.5,632.1,55.008617118001, 'dark_grass'
1102.5,632.1,53.6852936446667, 'dark_grass'
1207.5,632.1,53.0316817760468, 'dark_grass'
1312.5,632.1,31.5340948104858, 'grass'
1417.5,632.1,32.5452375411987, 'grass'
1522.5,632.1,0, 'dark_water'
1627.5,632.1,0, 'dark_water'
1732.5,632.1,0, 'dark_water'
0,662.2,0, 'dark_water'
105,662.2,0, 'dark_water'
210,662.2,15.4002606868744, 'water'
315,662.2,32.8448152542114, 'grass'
420,662.2,53.3244287967682, 'dark_grass'
525,662.2,47.2915211319923, 'dark_grass'
630,662.2,61.2456795573235, 'rocky'
735,662.2,62.8218638151884, 'rocky'
840,662.2,43.6929150670767, 'dark_grass'
945,662.2,65.0733248144388, 'rocky'
1050,662.2,50.2413104474545, 'dark_grass'
1155,662.2,47.0834961533546, 'dark_grass'
1260,662.2,44.8933947086334, 'dark_grass'
1365,662.2,32.9640394449234, 'grass'
1470,662.2,5.84127545356751, 'dark_water'
1575,662.2,0, 'dark_water'
1680,662.2,0, 'dark_water'
52.5,692.3,0, 'dark_water'
157.5,692.3,2.27050423622131, 'dark_water'
262.5,692.3,20.5375421047211, 'sand'
367.5,692.3,39.4445067644119, 'grass'
472.5,692.3,29.4315066933632, 'grass'
577.5,692.3,46.4147266745567, 'dark_grass'
682.5,692.3,65.5271498858929, 'rocky'
787.5,692.3,53.7522744387388, 'dark_grass'
892.5,692.3,87.5347848236561, 'snowy'
997.5,692.3,47.4103015288711, 'dark_grass'
1102.5,692.3,48.8149009644985, 'dark_grass'
1207.5,692.3,67.996783554554, 'rocky'
1312.5,692.3,68.0325955152512, 'rocky'
1417.5,692.3,31.3576394319534, 'grass'
1522.5,692.3,0, 'dark_water'
1627.5,692.3,0, 'dark_water'
1732.5,692.3,0, 'dark_water'
0,722.4,0, 'dark_water'
105,722.4,0, 'dark_water'
210,722.4,10.5469000339508, 'water'
315,722.4,28.8328993320465, 'grass'
420,722.4,40.479688346386, 'dark_grass'
525,722.4,25.4980601370335, 'grass'
630,722.4,51.3387785106897, 'dark_grass'
735,722.4,67.0495196431875, 'rocky'
840,722.4,63.754018926993, 'rocky'
945,722.4,57.9896680265665, 'dark_grass'
1050,722.4,50.6590314209461, 'dark_grass'
1155,722.4,67.108361274004, 'rocky'
1260,722.4,58.4795406460762, 'dark_grass'
1365,722.4,39.8314225673676, 'grass'
1470,722.4,15.5151164531708, 'water'
1575,722.4,0, 'dark_water'
1680,722.4,0, 'dark_water'
52.5,752.5,0, 'dark_water'
157.5,752.5,0, 'dark_water'
262.5,752.5,18.4725773334503, 'water'
367.5,752.5,26.9622963666916, 'grass'
472.5,752.5,34.1307386755943, 'grass'
577.5,752.5,51.3937103748322, 'dark_grass'
682.5,752.5,55.6522625684738, 'dark_grass'
787.5,752.5,67.4010034091771, 'rocky'
892.5,752.5,83.6561873182654, 'snowy'
997.5,752.5,51.5879071690142, 'dark_grass'
1102.5,752.5,50.1169969886541, 'dark_grass'
1207.5,752.5,76.2725651264191, 'snowy'
1312.5,752.5,42.3748317360878, 'dark_grass'
1417.5,752.5,31.0275560617447, 'grass'
1522.5,752.5,26.5640330314636, 'grass'
1627.5,752.5,0, 'dark_water'
1732.5,752.5,0, 'dark_water'
0,782.6,0, 'dark_water'
105,782.6,28.423912525177, 'grass'
210,782.6,0, 'dark_water'
315,782.6,17.9220020771027, 'water'
420,782.6,35.5444782972336, 'grass'
525,782.6,25.16496732831, 'grass'
630,782.6,66.4711278676987, 'rocky'
735,782.6,48.5038023814559, 'dark_grass'
840,782.6,61.4102903916501, 'rocky'
945,782.6,65.8427681028843, 'rocky'
1050,782.6,43.8477519527078, 'dark_grass'
1155,782.6,52.1759136021137, 'dark_grass'
1260,782.6,29.266260266304, 'grass'
1365,782.6,22.925877571106, 'sand'
1470,782.6,44.0715658664703, 'dark_grass'
1575,782.6,0, 'dark_water'
1680,782.6,0, 'dark_water'
52.5,812.7,0, 'dark_water'
157.5,812.7,0, 'dark_water'
262.5,812.7,12.5364410877228, 'water'
367.5,812.7,30.2699428796768, 'grass'
472.5,812.7,18.8124918937683, 'water'
577.5,812.7,62.9940044134855, 'rocky'
682.5,812.7,44.3129638396204, 'dark_grass'
787.5,812.7,59.1410352056846, 'dark_grass'
892.5,812.7,56.9615404045908, 'dark_grass'
997.5,812.7,54.339328436181, 'dark_grass'
1102.5,812.7,32.8326988220215, 'grass'
1207.5,812.7,86.2601329386234, 'snowy'
1312.5,812.7,36.6845226287842, 'grass'
1417.5,812.7,35.8836686611176, 'grass'
1522.5,812.7,36.4347231388092, 'grass'
1627.5,812.7,0, 'dark_water'
1732.5,812.7,0, 'dark_water'
0,842.8,0, 'dark_water'
105,842.8,0, 'dark_water'
210,842.8,2.19206571578979, 'dark_water'
315,842.8,8.47494184970856, 'dark_water'
420,842.8,35.8303990960121, 'grass'
525,842.8,28.4967063367367, 'grass'
630,842.8,66.8625785037875, 'rocky'
735,842.8,37.317519010976, 'grass'
840,842.8,46.7705386014859, 'dark_grass'
945,842.8,51.221827226691, 'dark_grass'
1050,842.8,45.8990932255983, 'dark_grass'
1155,842.8,65.2157619595528, 'rocky'
1260,842.8,48.9451870322228, 'dark_grass'
1365,842.8,40.3023952245712, 'dark_grass'
1470,842.8,60.0065195560455, 'rocky'
1575,842.8,0, 'dark_water'
1680,842.8,0, 'dark_water'
52.5,872.9,0, 'dark_water'
157.5,872.9,1.99443340301514, 'dark_water'
262.5,872.9,0.522994995117188, 'dark_water'
367.5,872.9,18.1825822591782, 'water'
472.5,872.9,26.0438525676727, 'grass'
577.5,872.9,36.1156672239304, 'grass'
682.5,872.9,52.4284787848592, 'dark_grass'
787.5,872.9,34.6021319646388, 'grass'
892.5,872.9,90.7030707402737, 'snowy'
997.5,872.9,50.3043915890157, 'dark_grass'
1102.5,872.9,69.6025217324495, 'rocky'
1207.5,872.9,58.8830271363258, 'dark_grass'
1312.5,872.9,25.9137314558029, 'grass'
1417.5,872.9,49.2012012004852, 'dark_grass'
1522.5,872.9,44.5566594600678, 'dark_grass'
1627.5,872.9,0, 'dark_water'
1732.5,872.9,0, 'dark_water'
0,903,0, 'dark_water'
105,903,0, 'dark_water'
210,903,34.3938159942627, 'grass'
315,903,10.3752189874649, 'water'
420,903,28.6074417829514, 'grass'
525,903,24.903579801321, 'sand'
630,903,30.3903932869434, 'grass'
735,903,38.470940804109, 'grass'
840,903,44.5140171441017, 'dark_grass'
945,903,73.7177475867793, 'snowy'
1050,903,73.823857717216, 'snowy'
1155,903,82.0038722455502, 'snowy'
1260,903,30.402712225914, 'grass'
1365,903,52.3556041717529, 'dark_grass'
1470,903,42.054591178894, 'dark_grass'
1575,903,1.92321181297302, 'dark_water'
1680,903,0, 'dark_water'
52.5,933.1,0, 'dark_water'
157.5,933.1,12.5505673885345, 'water'
262.5,933.1,25.7044637203217, 'grass'
367.5,933.1,27.1973115205765, 'grass'
472.5,933.1,37.7594482898712, 'grass'
577.5,933.1,26.3146495074034, 'grass'
682.5,933.1,49.5508425682783, 'dark_grass'
787.5,933.1,33.4730926528573, 'grass'
892.5,933.1,75.1596705056727, 'snowy'
997.5,933.1,34.4272510148585, 'grass'
1102.5,933.1,61.251862719655, 'rocky'
1207.5,933.1,52.3178762197495, 'dark_grass'
1312.5,933.1,17.6068916916847, 'water'
1417.5,933.1,46.9473427534103, 'dark_grass'
1522.5,933.1,25.5276381969452, 'grass'
1627.5,933.1,0, 'dark_water'
1732.5,933.1,0, 'dark_water'
0,963.2,0, 'dark_water'
105,963.2,0, 'dark_water'
210,963.2,21.3984668254852, 'sand'
315,963.2,24.2752665281296, 'sand'
420,963.2,23.3406275510788, 'sand'
525,963.2,42.9036511480808, 'dark_grass'
630,963.2,32.6362287998199, 'grass'
735,963.2,34.4994066283107, 'grass'
840,963.2,37.665237528272, 'grass'
945,963.2,53.3469115197659, 'dark_grass'
1050,963.2,57.1107469126582, 'dark_grass'
1155,963.2,43.4796416759491, 'dark_grass'
1260,963.2,30.6133300065994, 'grass'
1365,963.2,18.1252884864807, 'water'
1470,963.2,43.7380814552307, 'dark_grass'
1575,963.2,14.0526366233826, 'water'
1680,963.2,0, 'dark_water'
52.5,993.3,0, 'dark_water'
157.5,993.3,0, 'dark_water'
262.5,993.3,13.8510954380035, 'water'
367.5,993.3,28.2064086198807, 'grass'
472.5,993.3,46.3969454169273, 'dark_grass'
577.5,993.3,38.0541501939297, 'grass'
682.5,993.3,44.2129569500685, 'dark_grass'
787.5,993.3,55.0726908445358, 'dark_grass'
892.5,993.3,44.0740379411727, 'dark_grass'
997.5,993.3,45.4288836568594, 'dark_grass'
1102.5,993.3,33.3848637342453, 'grass'
1207.5,993.3,37.7772027254105, 'grass'
1312.5,993.3,4.403355717659, 'dark_water'
1417.5,993.3,24.7707384824753, 'sand'
1522.5,993.3,42.6106989383698, 'dark_grass'
1627.5,993.3,0, 'dark_water'
1732.5,993.3,0, 'dark_water'
0,1023.4,0, 'dark_water'
105,1023.4,0, 'dark_water'
210,1023.4,0, 'dark_water'
315,1023.4,8.03117036819458, 'dark_water'
420,1023.4,43.0193048715591, 'dark_grass'
525,1023.4,25.6003747880459, 'grass'
630,1023.4,40.3713002800942, 'dark_grass'
735,1023.4,45.0187408179045, 'dark_grass'
840,1023.4,40.7320744358003, 'dark_grass'
945,1023.4,43.7352636829019, 'dark_grass'
1050,1023.4,37.039452418685, 'grass'
1155,1023.4,41.4787213504314, 'dark_grass'
1260,1023.4,26.8542230129242, 'grass'
1365,1023.4,15.9154397249222, 'water'
1470,1023.4,37.9367065429687, 'grass'
1575,1023.4,11.8762707710266, 'water'
1680,1023.4,0, 'dark_water'
52.5,1053.5,0, 'dark_water'
157.5,1053.5,0, 'dark_water'
262.5,1053.5,4.35086488723755, 'dark_water'
367.5,1053.5,22.2577553987503, 'sand'
472.5,1053.5,32.3126435279846, 'grass'
577.5,1053.5,48.5175423324108, 'dark_grass'
682.5,1053.5,66.0238205641508, 'rocky'
787.5,1053.5,21.4521284401417, 'sand'
892.5,1053.5,18.2625334337354, 'water'
997.5,1053.5,81.6260936111212, 'snowy'
1102.5,1053.5,43.3536078035831, 'dark_grass'
1207.5,1053.5,33.3715662360191, 'grass'
1312.5,1053.5,2.27364420890808, 'dark_water'
1417.5,1053.5,10.0631386041641, 'water'
1522.5,1053.5,33.5549068450928, 'grass'
1627.5,1053.5,0, 'dark_water'
1732.5,1053.5,0, 'dark_water'
0,1083.6,0, 'dark_water'
105,1083.6,0, 'dark_water'
210,1083.6,13.3094251155853, 'water'
315,1083.6,12.3784214258194, 'water'
420,1083.6,23.6217212677002, 'sand'
525,1083.6,22.8950661420822, 'sand'
630,1083.6,56.8772873282433, 'dark_grass'
735,1083.6,67.528718188405, 'rocky'
840,1083.6,25.8942738175392, 'grass'
945,1083.6,61.9683019816875, 'rocky'
1050,1083.6,79.0064549446106, 'snowy'
1155,1083.6,62.2414147853851, 'rocky'
1260,1083.6,25.6474649906158, 'grass'
1365,1083.6,12.8731673955917, 'water'
1470,1083.6,36.8555510044098, 'grass'
1575,1083.6,0, 'dark_water'
1680,1083.6,0, 'dark_water'
52.5,1113.7,0, 'dark_water'
157.5,1113.7,0, 'dark_water'
262.5,1113.7,5.21328091621399, 'dark_water'
367.5,1113.7,21.3383728265762, 'sand'
472.5,1113.7,11.2011095881462, 'water'
577.5,1113.7,46.6424936056137, 'dark_grass'
682.5,1113.7,82.8548245131969, 'snowy'
787.5,1113.7,22.6002459973097, 'sand'
892.5,1113.7,26.8922287970781, 'grass'
997.5,1113.7,70.4310129582882, 'snowy'
1102.5,1113.7,81.6693784296513, 'snowy'
1207.5,1113.7,38.1418392062187, 'grass'
1312.5,1113.7,10.3552329540253, 'water'
1417.5,1113.7,15.9108030796051, 'water'
1522.5,1113.7,29.8524177074432, 'grass'
1627.5,1113.7,0, 'dark_water'
1732.5,1113.7,0, 'dark_water'
0,1143.8,0, 'dark_water'
105,1143.8,0, 'dark_water'
210,1143.8,0, 'dark_water'
315,1143.8,22.302542924881, 'sand'
420,1143.8,15.4850631952286, 'water'
525,1143.8,18.6092314124107, 'water'
630,1143.8,62.8265382349491, 'rocky'
735,1143.8,62.5090017914772, 'rocky'
840,1143.8,39.3148331344128, 'grass'
945,1143.8,69.3472677469254, 'rocky'
1050,1143.8,53.4199704229832, 'dark_grass'
1155,1143.8,39.232422709465, 'grass'
1260,1143.8,30.4809540510178, 'grass'
1365,1143.8,6.46731376647949, 'dark_water'
1470,1143.8,23.5925495624542, 'sand'
1575,1143.8,0, 'dark_water'
1680,1143.8,0, 'dark_water'
52.5,1173.9,0, 'dark_water'
157.5,1173.9,0, 'dark_water'
262.5,1173.9,0, 'dark_water'
367.5,1173.9,7.3062264919281, 'dark_water'
472.5,1173.9,8.06147933006287, 'dark_water'
577.5,1173.9,50.4762706160545, 'dark_grass'
682.5,1173.9,75.515271127224, 'snowy'
787.5,1173.9,44.9190916121006, 'dark_grass'
892.5,1173.9,76.722509264946, 'snowy'
997.5,1173.9,63.9628873765469, 'rocky'
1102.5,1173.9,44.6720400452614, 'dark_grass'
1207.5,1173.9,36.7669039964676, 'grass'
1312.5,1173.9,53.8613373041153, 'dark_grass'
1417.5,1173.9,5.65408945083618, 'dark_water'
1522.5,1173.9,15.2148270606995, 'water'
1627.5,1173.9,0, 'dark_water'
1732.5,1173.9,0, 'dark_water'
0,1204,0, 'dark_water'
105,1204,0, 'dark_water'
210,1204,0, 'dark_water'
315,1204,2.70414233207703, 'dark_water'
420,1204,0, 'dark_water'
525,1204,17.6454842090607, 'water'
630,1204,77.2127535939217, 'snowy'
735,1204,72.5489974021912, 'snowy'
840,1204,61.6072525084019, 'rocky'
945,1204,64.3955482542515, 'rocky'
1050,1204,42.6987120509148, 'dark_grass'
