(0, 0.0, 0, 'dark_water'),(30, 0.0, 0, 'dark_water'),(60, 0.0, 0, 'dark_water'),(90, 0.0, 0, 'dark_water'),(120, 0.0, 0, 'dark_water'),(150, 0.0, 0, 'dark_water'),(180, 0.0, 0, 'dark_water'),
(15.0, 94.6, 19.924768209457397, 'water'),(45.0, 94.6, 60.31493961811066, 'rocky'),(75.0, 94.6, 65.41105192154646, 'rocky'),(105.0, 94.6, 62.32541718520224, 'rocky'),(135.0, 94.6, 40.513397455215454, 'dark_grass'),(165.0, 94.6, 15.702921152114868, 'water'),(195.0, 94.6, 0, 'dark_water'),
(0, 103.19999999999999, 0, 'dark_water'),(30, 103.19999999999999, 41.00923418998718, 'dark_grass'),(60, 103.19999999999999, 62.6371331512928, 'rocky'),(90, 103.19999999999999, 64.22520041232929, 'rocky'),(120, 103.19999999999999, 51.41148917376995, 'dark_grass'),(150, 103.19999999999999, 31.67545437812805, 'grass'),(180, 103.19999999999999, 0, 'dark_water'),
(15.0, 111.8, 13.071041107177734, 'water'),(45.0, 111.8, 51.93203508853912, 'dark_grass'),(75.0, 111.8, 67.17937789857388, 'rocky'),(105.0, 111.8, 61.71508306637406, 'rocky'),(135.0, 111.8, 43.84981870651245, 'dark_grass'),(165.0, 111.8, 15.54688811302185, 'water'),(195.0, 111.8, 0, 'dark_water'),
(0, 120.39999999999999, 0, 'dark_water'),(30, 120.39999999999999, 34.15769577026367, 'grass'),(60, 120.39999999999999, 53.632958829402924, 'dark_grass'),(90, 120.39999999999999, 59.2356501147151, 'dark_grass'),(120, 120.39999999999999, 55.52614599466324, 'dark_grass'),(150, 120.39999999999999, 27.784162759780884, 'grass'),(180, 120.39999999999999, 0, 'dark_water'),
(15.0, 129.0, 0, 'dark_water'),(45.0, 129.0, 35.16586124897003, 'grass'),(75.0, 129.0, 59.4547837972641, 'dark_grass'),(105.0, 129.0, 55.31674638390541, 'dark_grass'),(135.0, 129.0, 45.41432082653046, 'dark_grass'),(165.0, 129.0, 8.490389585494995, 'dark_water'),(195.0, 129.0, 0, 'dark_water'),
(0, 137.6, 0, 'dark_water'),(30, 137.6, 15.40623664855957, 'water'),(60, 137.6, 37.32527732849121, 'grass'),(90, 137.6, 53.275349736213684, 'dark_grass'),(120, 137.6, 50.32333552837372, 'dark_grass'),(150, 137.6, 28.222904205322266, 'grass'),(180, 137.6, 0, 'dark_water'),
(15.0, 146.2, 0, 'dark_water'),(45.0, 146.2, 12.426044940948486, 'water'),(75.0, 146.2, 40.7308691740036, 'dark_grass'),(105.0, 146.2, 40.00208169221878, 'dark_grass'),(135.0, 146.2, 34.492648243904114, 'grass'),(165.0, 146.2, 2.1732258796691895, 'dark_water'),(195.0, 146.2, 0, 'dark_water'),
(0, 154.79999999999998, 0, 'dark_water'),(30, 154.79999999999998, 0, 'dark_water'),(60, 154.79999999999998, 15.080287456512451, 'water'),(90, 154.79999999999998, 33.266757130622864, 'grass'),(120, 154.79999999999998, 31.757699847221375, 'grass'),(150, 154.79999999999998, 9.8537278175354, 'dark_water'),(180, 154.79999999999998, 0, 'dark_water'),
(15.0, 163.4, 0, 'dark_water'),(45.0, 163.4, 0, 'dark_water'),(75.0, 163.4, 21.667556762695312, 'sand'),(105.0, 163.4, 23.211511373519897, 'sand'),(135.0, 163.4, 14.473671913146973, 'water'),(165.0, 163.4, 0, 'dark_water'),(195.0, 163.4, 0, 'dark_water'),
(0, 172.0, 0, 'dark_water'),(30, 172.0, 0, 'dark_water'),(60, 172.0, 0, 'dark_water'),(90, 172.0, 10.175113677978516, 'water'),(120, 172.0, 3.7415850162506104, 'dark_water'),(150, 172.0, 0, 'dark_water'),(180, 172.0, 0, 'dark_water'),
(15.0, 180.6, 0, 'dark_water'),(45.0, 180.6, 0, 'dark_water'),(75.0, 180.6, 0, 'dark_water'),(105.0, 180.6, 0, 'dark_water'),(135.0, 180.6, 0, 'dark_water'),(165.0, 180.6, 0, 'dark_water'),(195.0, 180.6, 0, 'dark_water'),
(0, 189.2, 0, 'dark_water'),(30, 189.2, 0, 'dark_water'),(60, 189.2, 0, 'dark_water'),(90, 189.2, 0, 'dark_water'),(120, 189.2, 0, 'dark_water'),(150, 189.2, 0, 'dark_water'),(180, 189.2, 0, 'dark_water'),
(15.0, 197.79999999999998, 0, 'dark_water'),(45.0, 197.79999999999998, 0, 'dark_water'),(75.0, 197.79999999999998, 0, 'dark_water'),(105.0, 197.79999999999998, 0, 'dark_water'),(135.0, 197.79999999999998, 0, 'dark_water'),(165.0, 197.79999999999998, 0, 'dark_water'),(195.0, 197.79999999999998, 0, 'dark_water'),
(0, 206.39999999999998, 0, 'dark_water'),(30, 206.39999999999998, 0, 'dark_water'),(60, 206.39999999999998, 0, 'dark_water'),(90, 206.39999999999998, 0, 'dark_water'),(120, 206.39999999999998, 0, 'dark_water'),(150, 206.39999999999998, 0, 'dark_water'),(180, 206.39999999999998, 0, 'dark_water'),
(15.0, 215.0, 0, 'dark_water'),(45.0, 215.0, 0, 'dark_water'),(75.0, 215.0, 0, 'dark_water'),(105.0, 215.0, 0, 'dark_water'),(135.0, 215.0, 0, 'dark_water'),(165.0, 215.0, 0, 'dark_water'),(195.0, 215.0, 0, 'dark_water'),
